id,vendor_id,pickup_time,dropoff_time,passenger_count,pickup_long,pickup_lat,dropoff_long,dropoff_lat,store_and_fwd_flag,trip_duration
id0190469,2,1/1/16 0:00,1/1/16 0:14,5,-73.98174286,40.71915817,-73.93882751,40.82918167,N,849
id1665586,1,1/1/16 0:00,1/1/16 0:22,1,-73.98508453,40.74716568,-73.95803833,40.71749115,N,1294
id1210365,2,1/1/16 0:01,1/1/16 0:07,5,-73.96527863,40.80104065,-73.94747925,40.81517029,N,408
id3888279,1,1/1/16 0:01,1/1/16 0:05,1,-73.98229218,40.75133133,-73.99134064,40.75033951,N,280
id0924227,1,1/1/16 0:01,1/1/16 0:13,1,-73.97010803,40.75979996,-73.98935699,40.74298859,N,736
id1078247,2,1/1/16 0:01,1/1/16 0:03,1,-73.97333527,40.76407242,-73.97485352,40.76173401,N,114
id3609443,1,1/1/16 0:01,1/1/16 0:21,2,-73.99310303,40.75263214,-73.9539032,40.81653976,N,1204
id2914314,2,1/1/16 0:02,1/1/16 0:23,1,-73.98544312,40.73571014,-73.95748901,40.81161118,N,1310
id3675972,2,1/1/16 0:02,1/1/16 0:10,1,-73.99373627,40.74176025,-74.00466919,40.74546814,N,445
id0846101,2,1/1/16 0:03,1/1/16 0:07,1,-73.97686005,40.68337631,-73.98364258,40.68886566,N,263
id0372520,1,1/1/16 0:03,1/1/16 0:16,1,-73.9697876,40.75758362,-73.95157623,40.75944519,N,770
id3968582,1,1/1/16 0:04,1/1/16 0:22,2,-73.99397278,40.74086761,-73.98855591,40.76478195,N,1071
id2563820,2,1/1/16 0:05,1/1/16 0:09,1,-73.9595108,40.76280975,-73.96839142,40.77051926,N,287
id2335372,2,1/1/16 0:05,1/1/16 0:27,1,-73.99025726,40.73703384,-73.92808533,40.75789261,N,1318
id3956309,1,1/1/16 0:05,1/1/16 0:17,1,-73.99013519,40.74885178,-73.95653534,40.77566528,N,728
id0460928,2,1/1/16 0:05,1/1/16 0:13,3,-74.00531769,40.72866058,-73.99716187,40.72063065,N,468
id3574841,1,1/1/16 0:06,1/1/16 0:07,1,-73.93579865,40.70730972,-73.93305969,40.70948029,N,61
id1864422,1,1/1/16 0:06,1/1/16 0:31,1,-73.99495697,40.745121,-73.95465851,40.77878189,N,1512
id0275133,1,1/1/16 0:06,1/1/16 0:16,1,-73.99046326,40.75100708,-73.99276733,40.72535706,N,608
id1004094,2,1/1/16 0:07,1/1/16 0:17,3,-73.9536438,40.77526093,-73.97908783,40.7617836,N,597
id1560712,2,1/1/16 0:07,1/1/16 0:18,1,-73.97852325,40.78910065,-73.94638062,40.77690125,N,659
id2041977,2,1/1/16 0:07,1/1/16 0:13,1,-73.98226166,40.75159073,-73.98514557,40.73871994,N,383
id2265799,1,1/1/16 0:07,1/1/16 0:33,1,-73.97222137,40.67683029,-74.02483368,40.6361618,N,1529
id1436179,1,1/1/16 0:07,1/1/16 0:17,2,-73.98626709,40.73276901,-73.96098328,40.76099014,N,603
id1693965,2,1/1/16 0:07,1/1/16 0:23,1,-73.98831177,40.72318649,-73.94260406,40.71615601,N,944
id1019488,2,1/1/16 0:08,1/1/16 0:22,1,-73.97612,40.74908066,-74.00744629,40.72645187,N,847
id1781008,2,1/1/16 0:08,1/1/16 0:30,2,-73.9921875,40.73451996,-73.99117279,40.76549149,N,1311
id2608409,1,1/1/16 0:08,1/1/16 0:25,1,-73.87303925,40.77410507,-73.98899841,40.7348175,Y,1012
id2270359,1,1/1/16 0:08,1/1/16 0:09,1,-73.98240662,40.73148727,-73.97903442,40.73601151,N,87
id1043337,1,1/1/16 0:08,1/1/16 0:19,4,-73.98776245,40.75037384,-74.00421906,40.7424202,N,685
id3554494,2,1/1/16 0:08,1/1/16 0:15,6,-73.97187042,40.75840378,-73.9679184,40.75786972,N,386
id3512166,2,1/1/16 0:09,1/1/16 0:19,2,-73.98048401,40.78346252,-73.95332336,40.77671814,N,631
id1276140,1,1/1/16 0:09,1/1/16 0:16,1,-73.97159576,40.76616669,-73.96800995,40.75263214,N,443
id2336715,2,1/1/16 0:09,1/1/16 0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N,622
id0672409,2,1/1/16 0:09,1/1/16 0:21,1,-73.98438263,40.7370491,-73.9853363,40.74628067,N,728
id3421970,2,1/1/16 0:09,1/1/16 0:39,1,-74.00701904,40.72573853,-73.95665741,40.7485199,N,1829
id3530028,2,1/1/16 0:09,1/1/16 0:21,1,-73.98092651,40.74196243,-73.9217453,40.74329376,N,739
id0441132,2,1/1/16 0:10,1/1/16 0:16,1,-74.00650024,40.73967743,-74.00687408,40.74409103,N,365
id3933480,2,1/1/16 0:10,1/1/16 0:13,1,-73.97371674,40.74800873,-73.97853088,40.74497986,N,205
id2389558,1,1/1/16 0:11,1/1/16 0:20,1,-73.9352951,40.69802856,-73.94961548,40.71557617,N,534
id2100728,1,1/1/16 0:11,1/1/16 0:15,4,-73.98892212,40.73665619,-73.98138428,40.7412529,N,231
id3852699,2,1/1/16 0:11,1/1/16 0:27,3,-74.00029755,40.72875977,-73.98110962,40.74470139,N,985
id1006852,1,1/1/16 0:11,1/1/16 0:31,1,-73.98627472,40.74730682,-73.99465942,40.76932526,N,1206
id3206203,1,1/1/16 0:11,1/1/16 0:29,1,-73.97271729,40.76485443,-73.91144562,40.77657318,N,1053
id0880957,2,1/1/16 0:11,1/1/16 0:15,1,-73.97337341,40.78702927,-73.98148346,40.78408813,N,213
id0987539,2,1/1/16 0:11,1/1/16 0:19,1,-73.96002197,40.79804611,-73.94003296,40.8013382,N,474
id2330529,1,1/1/16 0:11,1/1/16 0:16,1,-73.980896,40.72965622,-73.97625732,40.72343445,N,292
id1035006,2,1/1/16 0:11,1/1/16 0:20,2,-73.95132446,40.82519531,-73.93431091,40.84531784,N,524
id2418487,2,1/1/16 0:12,1/1/16 0:20,1,-74.00083923,40.73182678,-73.98532104,40.73240662,N,489
id0582638,2,1/1/16 0:12,1/1/16 0:24,2,-73.98932648,40.71901321,-73.99514771,40.66609955,N,742
id3734778,1,1/1/16 0:12,1/1/16 0:40,1,-73.98967743,40.75271606,-73.99526215,40.71762848,N,1722
id1770457,2,1/1/16 0:12,1/1/16 0:36,2,-73.87296295,40.7740593,-73.99930573,40.73934174,N,1442
id3914876,1,1/1/16 0:12,1/1/16 0:17,1,-73.99274445,40.74097824,-73.98841095,40.73363495,N,311
id3388812,1,1/1/16 0:13,1/1/16 0:23,3,-73.9752655,40.76151657,-73.95830536,40.76698685,N,612
id3205616,2,1/1/16 0:13,1/1/16 0:38,5,-73.99237823,40.72498322,-73.97575378,40.77957535,N,1520
id0121081,1,1/1/16 0:13,1/1/16 0:23,1,-73.99208069,40.75025177,-73.9725647,40.7466011,N,604
id0986197,2,1/1/16 0:13,1/1/16 0:33,1,-73.97636414,40.77549362,-73.99606323,40.72352219,N,1224
id1659866,1,1/1/16 0:13,1/1/16 0:23,1,-73.998703,40.72957611,-73.97846222,40.72877502,N,587
id3828931,1,1/1/16 0:13,1/1/16 0:30,2,-73.99198914,40.72561264,-73.99411011,40.75123596,N,1023
id2050754,1,1/1/16 0:13,1/1/16 0:24,1,-73.96422577,40.80247879,-73.94062042,40.8295517,N,651
id1943538,1,1/1/16 0:14,1/1/16 0:42,1,-73.99419403,40.74555969,-73.98142242,40.77857971,N,1678
id3205136,2,1/1/16 0:14,1/1/16 0:38,1,-74.00798798,40.74022675,-73.98130798,40.74541473,N,1425
id2314185,2,1/1/16 0:14,1/1/16 0:27,1,-73.95189667,40.80421829,-73.97927094,40.77510834,N,780
id0614081,2,1/1/16 0:14,1/1/16 0:29,1,-73.99667358,40.7578392,-74.01444244,40.70824051,N,869
id3754001,2,1/1/16 0:15,1/1/16 0:28,1,-73.97737885,40.75883865,-73.98358154,40.73844147,N,804
id3847265,1,1/1/16 0:15,1/1/16 0:26,1,-73.97051239,40.79664993,-73.94923401,40.80746841,N,664
id3280273,2,1/1/16 0:15,1/1/16 0:30,2,-73.97693634,40.7599144,-73.98152161,40.75177765,N,920
id1632188,2,1/1/16 0:15,1/1/16 0:18,1,-73.99037933,40.76152802,-73.99049377,40.76135635,N,164
id1008975,2,1/1/16 0:15,1/1/16 0:42,1,-73.98532867,40.74198914,-73.92759705,40.86553955,N,1593
id1210692,1,1/1/16 0:15,1/1/16 0:27,4,-73.99306488,40.73812866,-73.99285126,40.74514008,N,711
id0846731,2,1/1/16 0:15,1/1/16 0:24,1,-74.00775146,40.74528885,-73.99510193,40.75620651,N,495
id3160933,2,1/1/16 0:16,1/1/16 0:36,1,-73.98230743,40.73527145,-73.96640015,40.79952621,N,1208
id0633946,2,1/1/16 0:16,1/1/16 0:35,1,-73.98442078,40.74978638,-74.0070343,40.70675278,N,1149
id1320937,1,1/1/16 0:16,1/1/16 0:35,1,-73.96391296,40.7767067,-73.93557739,40.85024643,N,1115
id1378987,2,1/1/16 0:16,1/1/16 0:46,1,-73.99059296,40.74612808,-73.95156097,40.82513809,N,1812
id0874252,1,1/1/16 0:17,1/1/16 0:24,4,-73.99645996,40.74275589,-73.99156189,40.72703171,N,478
id3851045,1,1/1/16 0:17,1/1/16 0:27,1,-73.97682953,40.75892258,-73.95006561,40.78003693,N,643
id3700650,1,1/1/16 0:17,1/1/16 0:25,2,-73.97221375,40.76529694,-73.977005,40.75906372,N,493
id2905168,2,1/1/16 0:17,1/1/16 0:38,1,-73.96833038,40.77080154,-74.0038681,40.74193954,N,1302
id0615830,2,1/1/16 0:17,1/1/16 0:35,1,-73.97541046,40.76081085,-73.98193359,40.75213623,N,1103
id2516296,2,1/1/16 0:17,1/1/16 0:24,2,-74.00517273,40.70306015,-73.99369049,40.72093964,N,418
id1126109,1,1/1/16 0:17,1/1/16 0:30,2,-73.96080017,40.77222061,-73.98164368,40.7469635,N,752
id3228429,2,1/1/16 0:17,1/1/16 0:24,1,-73.95009613,40.80158997,-73.94311523,40.78750992,N,392
id2788317,2,1/1/16 0:17,1/1/16 0:43,1,-73.94866943,40.7820549,-74.00457764,40.72291183,N,1510
id3150178,2,1/1/16 0:18,1/1/16 0:34,1,-73.97496796,40.77772141,-73.97388458,40.75742722,N,955
id2685361,1,1/1/16 0:18,1/1/16 0:43,1,-74.00861359,40.71967697,-73.93904114,40.84350967,N,1541
id3689002,1,1/1/16 0:18,1/1/16 0:41,4,-74.00566864,40.73800659,-73.96466064,40.79258728,N,1416
id2753900,2,1/1/16 0:18,1/1/16 0:25,1,-73.99513245,40.76948929,-73.97532654,40.78607941,N,444
id2385969,2,1/1/16 0:18,1/1/16 0:37,6,-73.99458313,40.71898651,-73.99240875,40.75358963,N,1119
id3750179,1,1/1/16 0:18,1/1/16 0:27,2,-74.00588989,40.74014664,-73.99472046,40.75037766,N,519
id1306004,1,1/1/16 0:18,1/1/16 0:25,1,-73.99497223,40.75517654,-73.99269104,40.74839401,N,400
id0697399,1,1/1/16 0:19,1/1/16 0:30,1,-73.99173737,40.75437927,-73.99583435,40.75509644,N,685
id2297336,2,1/1/16 0:19,1/1/16 0:34,2,-73.97813416,40.72935867,-73.9540329,40.78441238,N,923
id1599467,2,1/1/16 0:19,1/1/16 0:29,5,-73.99803162,40.71976471,-73.99404144,40.69547272,N,613
id3632346,2,1/1/16 0:19,1/1/16 0:24,1,-73.96742249,40.78820801,-73.97117615,40.79579163,N,287
id3187104,2,1/1/16 0:19,1/1/16 0:31,1,-73.96743774,40.75551224,-73.92857361,40.76481247,N,675
id0862063,2,1/1/16 0:20,1/1/16 0:27,1,-73.91600037,40.74634933,-73.88553619,40.75548172,N,465
id3764623,2,1/1/16 0:20,1/1/16 0:28,5,-73.97171021,40.75943375,-73.95810699,40.78188324,N,484
id2736660,1,1/1/16 0:20,1/1/16 0:24,3,-73.99924469,40.72764587,-74.00590515,40.72709274,N,221
id0571277,1,1/1/16 0:20,1/1/16 0:21,1,-73.98488617,40.73621368,-73.98815918,40.73768997,N,72
